Screaming Circuits SMD component position file.
Created by Centroid_ScreamingCircuits_smd.ulp 1.2.0.

Centroid Data for pc board: "EEZ DIB AFE1 r1B5.brd" as of: 14.5.2021. 18:12
Measurements are in inches. Comma delimited
Only surface mount components included

RefDes,Layer,LocationX,LocationY,Rotation
C1,Top,3.951,1.431,90
C2,Top,3.560,1.571,270
C3,Top,1.784,2.490,90
C4,Top,3.560,1.419,90
C5,Top,2.817,1.879,0
C6,Top,3.132,1.494,0
C7,Top,3.118,1.892,90
C8,Top,4.614,2.581,180
C9,Top,4.787,0.537,90
C10,Top,4.832,0.810,180
C11,Top,3.227,0.802,0
C12,Top,4.315,0.203,90
C13,Top,3.994,0.809,180
C14,Top,4.013,0.881,0
C15,Top,3.227,0.632,0
C16,Top,3.262,0.904,270
C17,Top,3.219,0.717,0
C18,Top,3.182,0.944,270
C19,Top,4.273,0.355,180
C21,Top,2.919,0.328,0
C22,Top,2.757,0.327,180
C23,Top,2.957,0.580,180
C24,Top,2.801,0.580,180
C25,Top,3.030,0.658,0
C26,Top,3.046,0.731,180
C27,Top,4.013,0.949,0
C28,Top,3.262,1.030,90
C29,Top,3.916,0.910,270
C30,Top,3.994,0.732,180
C31,Top,3.808,0.564,270
C32,Top,3.705,0.560,0
C33,Top,3.880,0.626,90
C34,Top,3.946,1.016,0
C35,Top,3.981,1.095,0
D1,Top,3.678,1.302,0
D2,Top,1.470,0.200,180
D3,Top,1.470,0.080,0
D4,Top,3.285,1.302,0
D5,Top,1.450,0.936,180
D6,Top,1.450,1.056,0
D7,Top,0.484,0.908,270
D8,Top,0.606,0.908,90
D9,Top,3.124,2.065,0
D10,Top,3.124,2.183,180
D11,Top,2.860,2.065,180
D12,Top,2.860,2.183,0
D13,Top,3.461,1.302,0
D14,Top,0.484,1.171,90
D15,Top,0.606,1.171,270
D16,Top,5.439,0.691,0
D17,Top,5.439,0.809,180
D18,Top,5.174,0.691,180
D19,Top,5.173,0.809,0
D20,Top,3.820,1.302,0
F1,Top,2.606,1.200,180
F2,Top,2.606,1.524,180
FM1,Top,0.091,0.039,0
FM2,Top,5.531,2.579,0
FM3,Top,5.512,0.039,0
IC1,Top,3.761,1.486,180
IC2,Top,2.463,0.421,0
IC3,Top,3.865,2.381,0
IC4,Top,3.359,1.487,180
IC5,Top,2.463,0.824,0
IC6,Top,2.993,1.915,180
IC7,Top,3.662,1.897,270
IC8,Top,4.749,0.684,270
IC9,Top,4.594,1.105,0
IC10,Top,4.441,0.237,90
IC11,Top,3.596,0.877,270
IC12,Top,2.945,0.449,90
IC13,Top,2.787,0.452,90
ISEL1A_1,Top,2.505,2.100,90
ISEL1A_2,Top,5.245,1.222,0
JP5,Top,3.953,0.562,90
JP6,Top,3.482,0.284,0
L1,Top,0.331,0.156,90
L2,Top,0.372,0.586,180
L3,Top,2.909,0.260,180
L4,Top,2.747,0.260,180
OK1,Top,1.885,0.518,90
OK2,Top,1.885,0.318,90
OK3,Top,1.885,0.935,90
OK4,Top,1.885,0.738,90
Q1,Top,2.874,1.219,0
Q2,Top,2.337,1.219,180
Q3,Top,2.337,1.510,180
Q4,Top,2.876,1.510,0
Q5,Top,3.348,2.213,0
Q6,Top,3.482,2.213,0
Q7,Top,4.971,0.758,270
Q8,Top,4.971,0.918,270
R1,Top,2.606,1.115,180
R2,Top,3.159,1.383,90
R3,Top,2.208,0.514,270
R4,Top,2.607,1.310,180
R5,Top,3.082,1.383,270
R6,Top,2.208,0.305,90
R7,Top,4.024,1.576,270
R8,Top,0.811,0.422,180
R9,Top,1.006,0.422,180
R10,Top,4.024,1.420,270
R11,Top,1.506,0.328,180
R12,Top,0.447,0.236,270
R13,Top,0.588,0.290,180
R14,Top,0.782,0.290,180
R15,Top,0.978,0.290,180
R16,Top,1.173,0.290,180
R17,Top,1.313,0.350,270
R18,Top,2.606,1.609,180
R19,Top,2.208,0.926,90
R20,Top,2.606,1.413,0
R21,Top,2.208,0.764,270
R22,Top,0.976,0.727,180
R23,Top,1.170,0.727,180
R24,Top,1.484,0.829,180
R25,Top,0.539,0.598,180
R26,Top,0.735,0.598,180
R27,Top,0.929,0.598,180
R28,Top,1.125,0.598,180
R29,Top,1.319,0.598,180
R30,Top,1.514,0.598,180
R31,Top,3.362,2.100,180
R32,Top,0.368,0.990,270
R33,Top,3.364,1.889,90
R34,Top,3.206,1.900,270
R35,Top,2.830,1.952,180
R36,Top,2.184,1.933,270
R37,Top,3.921,2.038,270
R38,Top,4.010,2.038,90
R39,Top,3.987,1.897,0
R40,Top,3.987,1.810,0
R41,Top,4.849,0.997,270
R42,Top,0.368,1.185,90
R43,Top,4.849,1.268,270
R44,Top,4.686,0.816,0
R45,Top,4.859,0.684,270
R46,Top,4.270,1.970,270
R47,Top,4.368,1.024,270
R48,Top,4.280,1.024,270
R49,Top,4.334,1.165,180
R50,Top,4.333,1.252,0
R51,Top,3.227,0.554,180
R52,Top,4.030,0.600,270
R53,Top,2.914,0.716,90
R54,Top,2.767,0.716,270
S1,Top,2.126,0.185,0
TVS1,Top,2.127,2.184,90
TVS2,Top,5.144,0.929,0
XO1,Top,3.755,0.355,180
ZD1,Top,4.118,2.058,270
